Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,08/08/2025 19:30,Gaziantep Stadium,Gaziantep,Galatasaray,0 - 3
4,1,09/08/2025 17:00,Samsun 19 Mayis Stadium,Samsunspor,Gençlerbirligi,2 - 1
2,1,09/08/2025 19:30,Antalya Stadium,Antalyaspor,Kasimpasa,2 - 1
8,1,10/08/2025 17:00,Rize City Stadium,Çaykur Rizespor,Göztepe,0 - 3
1,1,10/08/2025 19:30,Pendik Stadium,Eyüpspor,Konyaspor,1 - 4
3,1,11/08/2025 19:30,Papara Park,Trabzonspor,Kocaelispor,1 - 0
5,1,17/09/2025 18:00,Atatürk Olympic Stadium,Fatih Karagümrük,Istanbul Basaksehir,0 - 2
7,1,17/09/2025 18:00,Ülker Stadium,Fenerbahçe,Alanyaspor,2 - 2
9,1,24/09/2025 18:00,RHG Enertürk Enerji Stadium,Kayserispor,Besiktas,0 - 4
16,2,15/08/2025 19:30,Ali Sami Yen Spor Kompleksi,Galatasaray,Fatih Karagümrük,3 - 0
18,2,16/08/2025 17:00,Kocaeli Stadium,Kocaelispor,Samsunspor,0 - 1
13,2,16/08/2025 19:30,Alanya Oba Stadium,Alanyaspor,Çaykur Rizespor,0 - 0
15,2,16/08/2025 19:30,Gürsel Aksel Stadium,Göztepe,Fenerbahçe,0 - 0
11,2,17/08/2025 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Gaziantep,3 - 0
17,2,17/08/2025 17:00,Eryaman Stadium,Gençlerbirligi,Antalyaspor,0 - 1
12,2,17/08/2025 19:30,Besiktas Stadyumu,Besiktas,Eyüpspor,2 - 1
14,2,17/08/2025 19:30,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kayserispor,1 - 1
10,2,18/08/2025 19:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Trabzonspor,0 - 1
20,3,22/08/2025 18:00,Konya Metropolitan Municipality Stadium,Konyaspor,Besiktas,
26,3,22/08/2025 18:00,Rize City Stadium,Çaykur Rizespor,Istanbul Basaksehir,
23,3,22/08/2025 19:30,Atatürk Olympic Stadium,Fatih Karagümrük,Göztepe,0 - 2
24,3,23/08/2025 19:30,Gaziantep Stadium,Gaziantep,Gençlerbirligi,2 - 1
25,3,23/08/2025 19:30,Ülker Stadium,Fenerbahçe,Kocaelispor,3 - 1
21,3,24/08/2025 17:00,Papara Park,Trabzonspor,Antalyaspor,1 - 0
27,3,24/08/2025 19:30,RHG Enertürk Enerji Stadium,Kayserispor,Galatasaray,0 - 4
19,3,25/08/2025 17:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Alanyaspor,2 - 1
22,3,17/09/2025 18:00,Samsun 19 Mayis Stadium,Samsunspor,Kasimpasa,0 - 0
33,4,29/08/2025 19:30,Gürsel Aksel Stadium,Göztepe,Konyaspor,1 - 1
28,4,30/08/2025 17:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Gaziantep,2 - 3
36,4,30/08/2025 17:00,Kocaeli Stadium,Kocaelispor,Kayserispor,1 - 1
29,4,30/08/2025 19:30,Antalya Stadium,Antalyaspor,Fatih Karagümrük,1 - 2
34,4,30/08/2025 19:30,Ali Sami Yen Spor Kompleksi,Galatasaray,Çaykur Rizespor,3 - 1
32,4,31/08/2025 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Eyüpspor,0 - 0
35,4,31/08/2025 17:00,Eryaman Stadium,Gençlerbirligi,Fenerbahçe,1 - 3
30,4,31/08/2025 19:30,Papara Park,Trabzonspor,Samsunspor,1 - 1
31,4,31/08/2025 19:30,Alanya Oba Stadium,Alanyaspor,Besiktas,2 - 0
37,5,13/09/2025 15:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Galatasaray,0 - 2
40,5,13/09/2025 15:00,Samsun 19 Mayis Stadium,Samsunspor,Antalyaspor,1 - 2
